Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/ActivityDefinition-ExaminationLiverSizeCLL.json	2336	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-ExaminationLymphaticNodesCLL.json	2383	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-ExaminationSpleenSizeCLL.json	2339	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-HBVSerologyCLL.json	2278	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-HCVSerologyCLL.json	2278	3	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-HEVSerologyCLL.json	2285	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-HIVSerologyCLL.json	2295	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-HistoryTakingCLL.json	2279	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IGHVmutationCLL.json	2342	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-MicroscopyWhiteBloodCellCountCLL.json	2412	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-PhysicalExaminationCLL.json	2325	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-PregnancyTestbHCGCLL.json	2439	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-RezidivtherapieMitBCL2beiCLL.json	1653	2	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-RezidivtherapieMitBTKbeiCLL.json	1669	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-TP53andDEL17pCLL.json	2450	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-TherapieIndikationCLL.json	792	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cll-v2.json	1591	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	2123	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationCLLBinetAB.json	20936	9	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	33	27	0	0	0	1	0	1
fsh-generated/resources/EvidenceVariable-PopulationCLLBinetC.json	2258	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationCLLErstlinientherapie.json	2155	3	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationCLLOnkoTherapieIdelalisib.json	2178	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	1	0	0
fsh-generated/resources/EvidenceVariable-PopulationCLLPlanungOnkoTherapie.json	2211	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationCLLPlanungOnkoTherapieFertileFemale.json	2999	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationCLLPlanungOnkoTherapieIdelalisib.json	2356	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationCLLRezidivtherapie.json	2189	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationQIMedikationErstlinienTherapie.json	2228	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	7	0	0	1	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationQIMutationsstatusVorTherapie.json	2183	3	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	1	0	0
fsh-generated/resources/EvidenceVariable-PopulationQIRezidivKlinischeStudien.json	2179	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-CLLTherapieindikationBinetAB.json	2547	5	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-CLLTherapieindikationBinetC.json	2530	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-ErstlinieBCL2undBTKbeiCLL.json	3072	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-QICLLErstlinienTherapie.json	3090	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-QIMutationsstatusVorTherapie.json	3188	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-QIRezidivKlinischeStudien.json	2656	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecCollectionErstlinieBCL2undBTKbeiCLL.json	2524	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecCollectionQIMedikationErstlinienTherapie.json	2449	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	45	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecCollectionQIMutationsstatusVorTherapie.json	2679	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-RecCollectionQIRezidivKlinischeStudien.json	2466	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecCollectionRezidivtherapieBCL2undBTKbeiCLL.json	2617	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecCollectionTherapieplanungBinetCLL.json	2935	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecCollectionUntersuchungenVorCLLPlanungOnkoTherapie.json	4239	3	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RezidivBehandlungBCL2undBTKbeiCLL.json	3176	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-UntersuchungenVorCLLPlanungOnkoTherapie.json	9322	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	30	7	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-UntersuchungenVorPlanungOnkoTherapieFertileFemale.json	2724	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-UntersuchungenVorPlanungOnkoTherapieIdelalisib.json	3058	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-UntersuchungenWhileTherapieIdelalisib.json	2561	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0
